name,category,model_type,status,epoch,val_acc,val_loss,params,config
exp1_baseline_fourier,CIFAR-10,perceiver,Completed,44,69.69,,0,"{'dataset': 'cifar10', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'num_latents': 96, 'latent_dim': 384, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 4, 'num_heads': 3, 'dropout': 0.2, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': False, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'optimizer': 'lamb', 'lr': 0.004, 'batch_size_cifar10': 64, 'batch_size_modelnet40': 32, 'epochs': 120, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'exp1_baseline_fourier', 'use_tensorboard': True, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'device': 'cuda', 'num_workers': 4, 'batch_size': 64}"
exp2_learned_pe_permuted,CIFAR-10,perceiver,Completed,89,77.60000000000001,,0,"{'dataset': 'cifar10', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': True, 'permute_pixels_seed': 42, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'num_latents': 96, 'latent_dim': 384, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 1, 'num_heads': 3, 'dropout': 0.2, 'use_learned_pe': True, 'save_attention_maps': True, 'save_metrics': True, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'optimizer': 'lamb', 'lr': 0.004, 'batch_size_cifar10': 64, 'batch_size_modelnet40': 32, 'epochs': 120, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'exp2_learned_pe_permuted', 'use_tensorboard': True, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'device': 'cuda', 'num_workers': 4, 'batch_size': 64}"
exp3A_fourier_control,CIFAR-10,perceiver,Completed,44,72.02,,0,"{'dataset': 'cifar10', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'num_latents': 96, 'latent_dim': 384, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 4, 'num_heads': 3, 'dropout': 0.2, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': False, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'optimizer': 'lamb', 'lr': 0.004, 'batch_size_cifar10': 64, 'batch_size_modelnet40': 32, 'epochs': 120, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'exp3A_fourier_control', 'use_tensorboard': True, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'device': 'cuda', 'num_workers': 4, 'batch_size': 64}"
exp3B_rgb_only,CIFAR-10,perceiver,Completed,106,61.339999999999996,,0,"{'dataset': 'cifar10', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'num_latents': 96, 'latent_dim': 384, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 4, 'num_heads': 3, 'dropout': 0.2, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': False, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': True, 'optimizer': 'lamb', 'lr': 0.004, 'batch_size_cifar10': 64, 'batch_size_modelnet40': 32, 'epochs': 120, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'exp3B_rgb_only', 'use_tensorboard': True, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'device': 'cuda', 'num_workers': 4, 'batch_size': 64}"
exp4A_weight_sharing_control,CIFAR-10,perceiver,Completed,36,68.49,,0,"{'dataset': 'cifar10', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'num_latents': 96, 'latent_dim': 384, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 4, 'num_heads': 3, 'dropout': 0.2, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': False, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'optimizer': 'lamb', 'lr': 0.004, 'batch_size_cifar10': 64, 'batch_size_modelnet40': 32, 'epochs': 120, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'exp4A_weight_sharing_control', 'use_tensorboard': True, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'device': 'cuda', 'num_workers': 4, 'batch_size': 64}"
exp4B_no_weight_sharing,CIFAR-10,perceiver,Completed,63,73.85000000000001,,0,"{'dataset': 'cifar10', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'num_latents': 96, 'latent_dim': 384, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 4, 'num_heads': 3, 'dropout': 0.2, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': False, 'attention_save_interval': 10, 'no_weight_sharing': True, 'output_pooling': 'mean', 'no_positional_encoding': False, 'optimizer': 'lamb', 'lr': 0.004, 'batch_size_cifar10': 64, 'batch_size_modelnet40': 32, 'epochs': 120, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'exp4B_no_weight_sharing', 'use_tensorboard': True, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'device': 'cuda', 'num_workers': 4, 'batch_size': 64}"
exp6_fourier_permuted,CIFAR-10,perceiver,Completed,108,78.12,,0,"{'dataset': 'cifar10', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': True, 'permute_pixels_seed': 42, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'num_latents': 96, 'latent_dim': 384, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 4, 'num_heads': 3, 'dropout': 0.2, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': True, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'optimizer': 'lamb', 'lr': 0.004, 'batch_size_cifar10': 64, 'batch_size_modelnet40': 32, 'epochs': 120, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'exp6_fourier_permuted', 'use_tensorboard': True, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'device': 'cuda', 'num_workers': 4, 'batch_size': 64}"
exp_cifar10_perceiver_io,CIFAR-10,perceiver_io,Completed,120,78.2,,0,"{'dataset': 'cifar10', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'model_type': 'perceiver_io', 'num_latents': 96, 'latent_dim': 384, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 4, 'num_heads': 3, 'dropout': 0.2, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': False, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'num_output_queries': 1, 'model_task': 'classification', 'mlm_vocab_size': 256, 'text_seq_len': 2048, 'mlm_mask_prob': 0.15, 'text_fourier_dim': 64, 'text_max_freq': 64.0, 'wikitext2_zip_path': None, 'optimizer': 'lamb', 'lr': 0.004, 'batch_size_cifar10': 64, 'batch_size_modelnet40': 32, 'epochs': 120, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'exp_cifar10_perceiver_io', 'use_tensorboard': True, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'device': 'cuda', 'num_workers': 4, 'batch_size': 64}"
glue_cola_finetune,GLUE,perceiver_io,Completed,1,69.12751677852349,,0,"{'dataset': 'glue_cola', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'model_type': 'perceiver_io', 'num_latents': 128, 'latent_dim': 512, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 1, 'num_heads': 8, 'dropout': 0.1, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': False, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'num_output_queries': 2, 'model_task': 'classification', 'mlm_vocab_size': 256, 'text_seq_len': 512, 'mlm_mask_prob': 0.15, 'text_fourier_dim': 64, 'text_max_freq': 64.0, 'wikitext2_zip_path': None, 'wikitext103_zip_path': None, 'optimizer': 'lamb', 'lr': 0.0005, 'batch_size_cifar10': 32, 'batch_size_modelnet40': 32, 'epochs': 30, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'glue_cola_finetune', 'use_tensorboard': False, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'load_checkpoint_path': 'logs/mlm_wikitext103_optimized_batch32/checkpoints/last_checkpoint.pth', 'device': 'cuda', 'num_workers': 4, 'batch_size': 32}"
glue_mnli_finetune,GLUE,perceiver_io,Completed,22,46.46968925114621,,0,"{'dataset': 'glue_mnli', 'data_dir': 'N:\\Perceiver_project\\data', 'cifar10_fourier_bands': 64, 'cifar10_max_freq': 32.0, 'permute_pixels': False, 'permute_pixels_seed': None, 'modelnet40_fourier_bands': 64, 'modelnet40_max_freq': 1120.0, 'modelnet40_num_points': 2048, 'model_type': 'perceiver_io', 'num_latents': 128, 'latent_dim': 512, 'num_transformer_blocks': 4, 'num_cross_attend_stages': 1, 'num_heads': 8, 'dropout': 0.1, 'use_learned_pe': False, 'save_attention_maps': True, 'save_metrics': False, 'attention_save_interval': 10, 'no_weight_sharing': False, 'output_pooling': 'mean', 'no_positional_encoding': False, 'num_output_queries': 2, 'model_task': 'classification', 'mlm_vocab_size': 256, 'text_seq_len': 512, 'mlm_mask_prob': 0.15, 'text_fourier_dim': 64, 'text_max_freq': 64.0, 'wikitext2_zip_path': None, 'wikitext103_zip_path': None, 'optimizer': 'lamb', 'lr': 0.0005, 'batch_size_cifar10': 32, 'batch_size_modelnet40': 32, 'epochs': 30, 'scheduler': 'multistep', 'lr_step_size': 30, 'lr_gamma': 0.1, 'eta_min_cosine': 0.0, 'log_dir': './logs', 'experiment_name': 'glue_mnli_finetune', 'use_tensorboard': False, 'use_wandb': False, 'wandb_project_name': 'perceiver-project', 'load_checkpoint_path': 'logs/mlm_wikitext103_optimized_batch32/checkpoints/last_checkpoint.pth', 'device': 'cuda', 'num_workers': 4, 'batch_size': 32}"
