run,group,status,test_accuracy,val_accuracy,final_val_accuracy,selected_epoch,params,seed
e01_baseline,tab1,ok,0.7163,0.7292,0.7268,92,10175362,42
e02_permuted,tab2,ok,0.6895,0.702,0.6958,87,10175362,42
e03_learned_pe,tab2,ok,0.7107,0.7232,0.72,105,8583714,42
e04_learned_pe_permuted,tab2,ok,0.6987,0.7106,0.7084,114,8583714,42
e29_no_pe,tab2,ok,0.3236,0.3294,0.3244,98,9505594,42
e05_no_latent_T4,tab5,ok,0.6898,0.694,0.694,120,6123514,42
e06_no_latent_T8,tab5,ok,0.6724,0.6908,0.6864,86,12206314,42
e07_no_latent_T12,tab5,ok,0.6705,0.6804,0.6768,98,18289114,42
e08_T1_interleaved,tab6,ok,0.7291,0.741,0.7362,90,8654662,42
e09_T2_interleaved,tab6,ok,0.6623,0.6718,0.669,106,10175362,42
e10_T8_interleaved,tab6,ok,0.6563,0.6718,0.6684,93,10175362,42
e11_T1_at_start,tab6,ok,0.7291,0.741,0.7362,90,8654662,42
e12_T2_at_start,tab6,ok,0.6845,0.6952,0.6922,103,10175362,42
e13_T4_at_start,tab6,ok,0.6719,0.6836,0.6836,100,10175362,42
e14_T8_at_start,tab6,ok,0.6804,0.6848,0.6824,87,10175362,42
e16_no_weight_sharing,tab7,ok,0.6946,0.7026,0.7002,112,31455106,42
e23_bands_4,fig6,ok,0.6639,0.6774,0.2254,42,9535042,42
e24_bands_16,fig6,ok,0.6258,0.6266,0.5546,30,9626242,42
e25_maxfreq_8,fig6,ok,0.695,0.702,0.7016,119,10175362,42
e26_maxfreq_64,fig6,ok,0.7241,0.7366,0.7292,91,10175362,42
e27_init_scale_0p1,fig6,ok,0.6569,0.6674,0.6634,112,10175362,42
e28_init_scale_1p0,fig6,ok,0.5208,0.5336,0.4632,9,10175362,42
e31_baseline_seed1,noise,ok,0.6885,0.7054,0.7026,101,10175362,1
e32_baseline_seed2,noise,ok,0.7097,0.6998,0.6944,103,10175362,2
mn01_baseline,modelnet,ok,,0.8736,0.8643,94,23288928,42
mn02_rotation,modelnet,ok,,0.7407,0.7249,87,23288928,42
mn03_translation,modelnet,ok,,0.872,0.8626,89,23288928,42
io01_cifar,io_image,ok,0.7179,0.737,0.7318,73,12049922,42
io02_cifar_seed1,io_image,ok,0.7169,0.73,0.7296,108,12049922,1
io_mlm,io_mlm,ok,,0.8668,0.8668,10,18872740,42
io_glue_sst2,io_glue,ok,,0.8073,0.7913,7,18480806,42
io_glue_cola,io_glue,ok,,0.6913,0.6318,1,18480806,42
io_glue_mrpc,io_glue,ok,,0.7059,0.6446,1,18480806,42
io_glue_stsb,io_glue,ok,,0.6082,0.6045,17,18480293,42
io_glue_qqp,io_glue,ok,,0.8466,0.8466,3,18480806,42
io_glue_mnli,io_glue,ok,,0.658,0.658,3,18481319,42
io_glue_qnli,io_glue,ok,,0.8065,0.7963,4,18480806,42
io_glue_rte,io_glue,ok,,0.5668,0.5199,23,18480806,42
io_glue_sst2_scratch,io_glue,ok,,0.5975,0.578,2,18480806,42
io_glue_rte_scratch,io_glue,ok,,0.5271,0.4729,1,18480806,42
io_glue_multitask,io_glue,ok,,0.7405,0.7405,10,18492085,42
cnn_baseline,baseline,ok,0.9361,0.9348,0.9338,117,11173962,42
